"","x"
"471",46
"472",47
"473",48
"474",49
"475",46
"476",48
"477",50
"478",50
"479",66
"480",46
"481",46
"482",56
"483",62
"484",46
"485",43
"486",45
"487",46
"488",44
"489",44
"490",44
"491",45
"492",44
"493",53
"494",44
"495",53
"496",45
"497",47
"498",45
"499",43
"500",50
"501",46
"502",46
"503",48
"504",43
"505",45
"506",43
"507",49
"508",48
"509",55
"510",45
"511",43
"512",47
"513",46
"514",56
"515",42
"516",45
"517",50
"518",43
"519",44
"520",43
"521",44
"522",49
"523",44
"524",60
"525",44
"526",46
"527",49
"528",43
"529",43
"530",46
"531",50
"532",49
"533",47
"534",46
"535",49
"536",42
"537",43
"538",47
"539",46
"540",42
"541",44
"542",45
"543",50
"544",43
"545",49
"546",46
"547",49
"548",44
"549",48
"550",45
"551",44
"552",48
"553",45
"554",46
"555",48
"556",48
"557",43
"558",44
"559",44
"560",45
"561",46
"562",49
"563",44
"564",45
"565",50
"566",53
"567",43
"568",53
"569",51
"570",45
"571",53
"572",51
"573",54
"574",48
"575",46
"576",53
"577",44
"578",44
"579",44
"580",48
"581",46
"582",44
"583",47
"584",53
"585",45
"586",47
"587",52
"588",42
"589",45
"590",43
"591",45
"592",47
"593",45
"594",45
"595",45
"596",47
"597",45
"598",42
"599",45
"600",43
"601",42
"602",42
"603",52
"604",43
"605",47
"606",43
"607",44
"608",44
"609",43
"610",44
"611",46
"612",45
"613",43
"614",44
"615",45
"616",46
"617",50
"618",43
"619",44
"620",45
"621",50
"622",45
"623",48
"624",42
"625",46
"626",45
"627",49
"628",50
"629",50
"630",46
"631",44
"632",46
"633",47
"634",42
"635",44
"636",44
"637",45
"638",45
"639",48
"640",48
"641",57
"642",41
"643",43
"644",45
"645",48
"646",50
"647",51
"648",44
"649",42
"650",51
"651",49
"652",45
"653",50
"654",42
"655",43
"656",47
"657",50
"658",43
"659",47
"660",42
"661",44
"662",49
"663",50
"664",55
"665",43
"666",51
"667",53
"668",44
"669",44
"670",51
"671",42
"672",49
"673",44
"674",41
"675",47
"676",46
"677",48
"678",42
"679",45
"680",46
"681",45
"682",43
"683",44
"684",43
"685",46
"686",43
"687",46
"688",41
"689",49
"690",42
"691",44
"692",43
"693",43
"694",48
"695",51
"696",44
"697",51
"698",42
"699",50
"700",46
"701",47
"702",51
"703",49
"704",48
"705",48
"706",47
"707",43
"708",53
"709",44
"710",42
"711",50
"712",54
"713",45
"714",42
"715",41
"716",43
"717",42
"718",42
"719",43
"720",43
"721",42
"722",44
"723",43
"724",49
"725",42
"726",41
"727",45
"728",41
"729",55
"730",55
"731",44
"732",44
"733",42
"734",42
"735",44
"736",41
"737",46
"738",47
"739",44
"740",44
"741",44
"742",51
"743",44
"744",41
"745",42
"746",41
"747",41
"748",45
"749",46
"750",45
"751",46
"752",42
"753",42
"754",43
"755",46
"756",42
"757",41
"758",44
"759",41
"760",45
"761",43
"762",45
"763",42
"764",45
"765",47
"766",50
"767",44
"768",43
"769",44
"770",43
"771",44
"772",45
"773",47
"774",50
"775",44
"776",45
"777",43
"778",44
"779",43
"780",48
"781",45
"782",44
"783",42
"784",49
"785",42
"786",43
"787",44
"788",56
"789",53
"790",42
"791",42
"792",44
"793",44
"794",42
"795",43
"796",42
"797",46
"798",41
"799",41
"800",45
"801",42
"802",42
"803",45
"804",42
"805",46
"806",40
"807",46
"808",42
"809",46
"810",46
"811",46
"812",41
"813",44
"814",42
"815",40
"816",42
"817",45
"818",45
"819",51
"820",52
"821",40
"822",43
"823",48
"824",42
"825",43
"826",50
"827",49
"828",48
"829",43
"830",43
"831",48
"832",42
"833",58
"834",43
"835",41
"836",48
"837",45
"838",44
"839",45
"840",49
"841",45
"842",44
"843",47
"844",45
"845",43
"846",45
"847",45
"848",43
"849",41
"850",48
"851",42
"852",44
"853",42
"854",51
"855",41
"856",46
"857",42
"858",49
"859",48
"860",42
"861",41
"862",42
"863",44
"864",41
"865",45
"866",40
"867",41
"868",49
"869",41
"870",43
"871",40
"872",50
"873",43
"874",40
"875",47
"876",41
"877",43
"878",41
"879",47
"880",46
"881",47
"882",46
"883",42
"884",51
"885",44
"886",49
"887",55
"888",40
"889",41
"890",44
"891",40
"892",55
"893",40
"894",47
"895",40
"896",45
"897",43
"898",43
"899",49
"900",47
"901",40
"902",41
"903",42
"904",51
"905",47
"906",42
"907",46
"908",39
"909",44
"910",43
"911",43
"912",45
"913",47
"914",50
"915",44
"916",39
"917",44
"918",43
"919",44
"920",50
"921",46
"922",41
"923",43
"924",40
"925",44
"926",39
"927",46
"928",42
"929",45
"930",40
"931",42
"932",48
"933",40
"934",43
"935",43
"936",43
"937",46
"938",42
"939",44
"940",40
"941",39
"942",41
"943",44
"944",43
"945",40
"946",45
"947",40
"948",42
"949",45
"950",48
"951",45
"952",42
"953",40
"954",39
"955",49
"956",46
"957",43
"958",39
"959",43
"960",45
"961",44
"962",48
"963",51
"964",41
"965",46
"966",48
"967",41
"968",43
"969",56
"970",41
"971",41
"972",39
"973",39
"974",51
"975",41
"976",42
"977",46
"978",41
"979",40
"980",41
"981",50
"982",41
"983",42
"984",47
"985",41
"986",44
"987",44
"988",39
"989",43
"990",43
"991",48
"992",58
"993",40
"994",41
"995",41
"996",40
"997",50
"998",46
"999",40
"1000",41
"1001",46
"1002",40
"1003",40
"1004",40
"1005",44
"1006",42
"1007",43
"1008",44
"1009",42
"1010",41
"1011",51
"1012",40
"1013",42
"1014",43
"1015",47
"1016",46
"1017",48
"1018",41
"1019",44
"1020",42
"1021",43
"1022",39
"1023",40
"1024",40
"1025",40
"1026",41
"1027",47
"1028",41
"1029",41
"1030",40
"1031",42
"1032",51
"1033",44
"1034",39
"1035",43
"1036",42
"1037",41
"1038",44
"1039",45
"1040",41
"1041",39
"1042",41
"1043",41
"1044",42
"1045",40
"1046",39
"1047",41
"1048",40
"1049",40
"1050",46
"1051",38
"1052",45
"1053",44
"1054",52
"1055",44
"1056",41
"1057",40
"1058",40
"1059",40
"1060",39
"1061",43
"1062",39
"1063",42
"1064",42
"1065",43
"1066",47
"1067",39
"1068",51
"1069",44
"1070",41
"1071",46
"1072",38
"1073",41
"1074",38
"1075",39
"1076",47
"1077",46
"1078",41
"1079",40
"1080",42
"1081",48
"1082",41
"1083",40
"1084",41
"1085",39
"1086",43
"1087",41
"1088",45
"1089",41
"1090",54
"1091",38
"1092",39
"1093",39
"1094",47
"1095",51
"1096",47
"1097",43
"1098",41
"1099",40
"1100",40
"1101",38
"1102",45
"1103",50
"1104",41
"1105",44
"1106",40
"1107",42
"1108",43
"1109",39
"1110",46
"1111",43
"1112",39
"1113",39
"1114",40
"1115",40
"1116",41
"1117",41
"1118",59
"1119",40
"1120",48
"1121",42
"1122",39
"1123",39
"1124",39
"1125",42
"1126",39
"1127",45
"1128",40
"1129",40
"1130",40
"1131",55
"1132",42
"1133",41
"1134",48
"1135",44
"1136",42
"1137",45
"1138",39
"1139",41
"1140",44
"1141",45
"1142",39
"1143",42
"1144",43
"1145",43
"1146",49
"1147",44
"1148",50
"1149",52
"1150",42
"1151",39
"1152",49
"1153",45
"1154",48
"1155",39
"1156",49
"1157",46
"1158",42
"1159",39
"1160",49
"1161",52
"1162",39
"1163",38
"1164",42
"1165",41
"1166",41
"1167",43
"1168",41
"1169",40
"1170",43
"1171",46
"1172",42
"1173",39
"1174",40
"1175",48
"1176",50
"1177",43
"1178",43
"1179",43
"1180",47
"1181",39
"1182",45
"1183",52
"1184",61
"1185",43
"1186",45
"1187",41
"1188",39
"1189",42
"1190",41
"1191",39
"1192",55
"1193",47
"1194",40
"1195",43
"1196",39
"1197",44
"1198",38
"1199",48
"1200",43
"1201",43
"1202",51
"1203",52
"1204",47
"1205",41
"1206",41
"1207",42
"1208",40
"1209",38
"1210",38
"1211",40
"1212",39
"1213",45
"1214",38
"1215",41
"1216",45
"1217",41
"1218",49
"1219",46
"1220",41
"1221",41
"1222",43
"1223",40
"1224",48
"1225",45
"1226",39
"1227",39
"1228",53
"1229",40
"1230",53
"1231",42
"1232",43
"1233",48
"1234",48
"1235",49
"1236",43
"1237",41
"1238",60
"1239",39
"1240",41
"1241",50
"1242",39
"1243",44
"1244",40
"1245",41
"1246",51
"1247",49
"1248",41
"1249",44
"1250",42
"1251",42
"1252",43
"1253",43
"1254",41
"1255",42
"1256",43
"1257",39
"1258",48
"1259",43
"1260",39
"1261",40
"1262",44
"1263",49
"1264",42
"1265",48
"1266",41
"1267",40
"1268",40
"1269",44
"1270",39
"1271",49
"1272",45
"1273",49
"1274",38
"1275",44
"1276",38
"1277",49
"1278",39
"1279",41
"1280",51
"1281",41
"1282",38
"1283",40
"1284",40
"1285",41
"1286",39
"1287",44
"1288",39
"1289",49
"1290",47
"1291",51
"1292",38
"1293",48
"1294",41
"1295",47
"1296",40
"1297",39
"1298",44
"1299",42
"1300",44
"1301",42
"1302",39
"1303",40
"1304",42
"1305",40
"1306",39
"1307",38
"1308",44
"1309",36
"1310",44
"1311",45
"1312",46
"1313",42
"1314",41
"1315",38
"1316",41
"1317",38
"1318",39
"1319",46
"1320",53
"1321",44
"1322",40
"1323",41
"1324",39
"1325",42
"1326",40
"1327",39
"1328",42
"1329",39
"1330",43
"1331",46
"1332",45
"1333",42
"1334",39
"1335",42
"1336",42
"1337",43
"1338",52
"1339",49
"1340",45
"1341",37
"1342",39
"1343",39
"1344",48
"1345",39
"1346",48
"1347",43
"1348",39
"1349",46
"1350",40
"1351",49
"1352",44
"1353",39
"1354",46
"1355",45
"1356",42
"1357",37
"1358",37
"1359",44
"1360",45
"1361",38
"1362",51
"1363",44
"1364",44
"1365",37
"1366",44
"1367",43
"1368",46
"1369",45
"1370",41
"1371",43
"1372",40
"1373",38
"1374",41
"1375",38
"1376",39
"1377",39
"1378",41
"1379",49
"1380",42
"1381",38
"1382",40
"1383",39
"1384",42
"1385",40
"1386",38
"1387",37
"1388",47
"1389",45
"1390",43
"1391",43
"1392",37
"1393",42
"1394",50
"1395",41
"1396",42
"1397",42
"1398",48
"1399",44
"1400",51
"1401",46
"1402",42
"1403",47
"1404",37
"1405",43
"1406",37
"1407",42
"1408",38
"1409",39
"1410",39
"1411",45
"1412",37
"1413",43
"1414",40
"1415",42
"1416",38
"1417",37
"1418",42
"1419",46
"1420",39
"1421",37
"1422",38
"1423",49
"1424",40
"1425",39
"1426",41
"1427",40
"1428",37
"1429",39
"1430",52
"1431",44
"1432",41
"1433",38
"1434",37
"1435",37
"1436",40
"1437",48
"1438",40
"1439",49
"1440",36
"1441",43
"1442",44
"1443",37
"1444",41
"1445",39
"1446",39
"1447",37
"1448",39
"1449",39
"1450",43
"1451",42
"1452",37
"1453",40
"1454",40
"1455",43
"1456",38
"1457",47
"1458",46
"1459",52
"1460",41
"1461",40
"1462",40
"1463",46
"1464",40
"1465",39
"1466",74
"1467",45
"1468",46
"1469",40
"1470",41
"1471",41
"1472",40
"1473",42
"1474",43
"1475",48
"1476",41
"1477",40
"1478",36
"1479",48
"1480",46
"1481",40
"1482",38
"1483",42
"1484",49
"1485",39
"1486",39
"1487",39
"1488",43
"1489",41
"1490",46
"1491",46
"1492",38
"1493",38
"1494",38
"1495",39
"1496",48
"1497",48
"1498",44
"1499",39
"1500",44
"1501",38
"1502",38
"1503",43
"1504",42
"1505",42
"1506",38
"1507",44
"1508",37
"1509",44
"1510",37
"1511",37
"1512",41
"1513",45
"1514",36
"1515",40
"1516",39
"1517",50
"1518",39
"1519",43
"1520",39
"1521",40
"1522",42
"1523",38
"1524",42
"1525",51
"1526",38
"1527",43
"1528",36
"1529",41
"1530",56
"1531",63
"1532",44
"1533",43
"1534",38
"1535",38
"1536",37
"1537",48
"1538",37
"1539",39
"1540",39
"1541",52
"1542",47
"1543",59
"1544",41
"1545",37
"1546",39
"1547",58
"1548",37
"1549",48
"1550",37
"1551",39
"1552",41
"1553",52
"1554",42
"1555",48
"1556",49
"1557",43
"1558",45
"1559",45
"1560",48
"1561",38
"1562",41
"1563",51
"1564",39
"1565",45
"1566",35
"1567",43
"1568",37
"1569",40
"1570",37
"1571",44
"1572",51
"1573",38
"1574",45
"1575",42
"1576",40
"1577",36
"1578",42
"1579",38
"1580",39
"1581",36
"1582",37
"1583",36
"1584",36
"1585",40
"1586",41
"1587",37
"1588",41
"1589",38
"1590",37
"1591",40
"1592",49
"1593",43
"1594",36
"1595",47
"1596",49
"1597",36
"1598",44
"1599",36
"1600",42
"1601",39
"1602",40
"1603",35
"1604",39
"1605",43
"1606",37
"1607",45
"1608",51
"1609",41
"1610",39
"1611",36
"1612",41
"1613",37
"1614",44
"1615",38
"1616",43
"1617",51
"1618",36
"1619",37
"1620",44
"1621",37
"1622",39
"1623",38
"1624",41
"1625",37
"1626",40
"1627",38
"1628",39
"1629",42
"1630",48
"1631",39
"1632",39
"1633",41
"1634",39
"1635",42
"1636",41
"1637",36
"1638",41
"1639",36
"1640",37
"1641",38
"1642",40
"1643",46
"1644",37
"1645",41
"1646",41
"1647",36
"1648",40
"1649",37
"1650",56
"1651",43
"1652",41
"1653",39
"1654",37
"1655",39
"1656",37
"1657",40
"1658",39
"1659",48
"1660",40
"1661",41
"1662",40
"1663",36
"1664",37
"1665",39
"1666",36
"1667",42
"1668",36
"1669",39
"1670",54
"1671",41
"1672",39
"1673",44
"1674",49
"1675",37
"1676",46
"1677",43
"1678",41
"1679",38
"1680",35
"1681",51
"1682",37
"1683",44
"1684",40
"1685",37
"1686",41
"1687",43
"1688",36
"1689",42
"1690",37
"1691",48
"1692",36
"1693",45
"1694",36
"1695",48
"1696",37
"1697",47
"1698",39
"1699",36
"1700",35
"1701",38
"1702",35
"1703",41
"1704",38
"1705",52
"1706",41
"1707",50
"1708",42
"1709",40
"1710",41
"1711",39
"1712",39
"1713",38
"1714",44
"1715",39
"1716",39
"1717",37
"1718",39
"1719",40
"1720",38
"1721",36
"1722",38
"1723",43
"1724",38
"1725",46
"1726",53
"1727",37
"1728",35
"1729",39
"1730",38
"1731",47
"1732",36
"1733",44
"1734",40
"1735",38
"1736",38
"1737",51
"1738",41
"1739",43
"1740",40
"1741",46
"1742",40
"1743",37
"1744",37
"1745",36
"1746",39
"1747",36
"1748",35
"1749",41
"1750",36
"1751",37
"1752",41
"1753",45
"1754",36
"1755",36
"1756",36
"1757",42
"1758",36
"1759",44
"1760",35
"1761",38
"1762",41
"1763",46
"1764",37
"1765",40
"1766",38
"1767",44
"1768",41
"1769",43
"1770",42
"1771",37
"1772",42
"1773",38
"1774",37
"1775",35
"1776",45
"1777",51
"1778",41
"1779",51
"1780",39
"1781",44
"1782",42
"1783",40
"1784",49
"1785",46
"1786",36
"1787",41
"1788",47
"1789",49
"1790",52
"1791",43
"1792",55
"1793",56
"1794",41
"1795",50
"1796",37
"1797",43
"1798",42
"1799",47
"1800",36
"1801",44
"1802",47
"1803",42
"1804",52
"1805",61
"1806",45
"1807",48
"1808",42
"1809",42
"1810",42
"1811",44
"1812",41
"1813",42
"1814",34
"1815",37
"1816",43
"1817",37
"1818",40
"1819",43
"1820",40
"1821",37
"1822",39
"1823",50
"1824",35
"1825",48
"1826",35
"1827",42
"1828",39
"1829",41
"1830",36
"1831",35
"1832",37
"1833",46
"1834",56
"1835",42
"1836",41
"1837",35
"1838",36
"1839",39
"1840",43
"1841",35
"1842",54
"1843",43
"1844",41
"1845",46
"1846",37
"1847",39
"1848",55
"1849",47
"1850",37
"1851",49
"1852",46
"1853",44
"1854",36
"1855",49
"1856",43
"1857",37
"1858",37
"1859",49
"1860",41
"1861",47
"1862",41
"1863",48
"1864",37
"1865",41
"1866",41
"1867",34
"1868",36
"1869",39
"1870",44
"1871",39
"1872",36
"1873",36
"1874",44
"1875",35
"1876",42
"1877",34
"1878",37
"1879",41
"1880",38
"1881",42
"1882",53
"1883",37
"1884",56
"1885",43
"1886",38
"1887",40
"1888",52
"1889",47
"1890",35
"1891",43
"1892",43
"1893",40
"1894",46
"1895",40
"1896",39
"1897",38
"1898",46
"1899",41
"1900",47
"1901",41
"1902",51
"1903",45
"1904",49
"1905",50
"1906",36
"1907",41
"1908",46
"1909",42
"1910",40
"1911",37
"1912",35
"1913",47
"1914",42
"1915",36
"1916",37
"1917",54
"1918",38
"1919",38
"1920",49
"1921",39
"1922",35
"1923",63
"1924",43
"1925",45
"1926",42
"1927",37
"1928",37
"1929",52
"1930",50
"1931",42
"1932",45
"1933",36
"1934",34
"1935",49
"1936",37
"1937",40
"1938",39
"1939",36
"1940",41
"1941",48
"1942",43
"1943",35
"1944",44
"1945",53
"1946",44
"1947",39
"1948",42
"1949",35
"1950",37
"1951",38
"1952",40
"1953",38
"1954",41
"1955",51
"1956",35
"1957",48
"1958",40
"1959",37
"1960",41
"1961",35
"1962",35
"1963",47
"1964",54
"1965",40
"1966",36
"1967",52
"1968",46
"1969",39
"1970",45
"1971",40
"1972",37
"1973",49
"1974",36
"1975",37
"1976",37
"1977",45
"1978",47
"1979",37
"1980",39
"1981",37
"1982",39
"1983",37
"1984",50
"1985",40
"1986",38
"1987",45
"1988",34
"1989",38
"1990",38
"1991",47
"1992",35
"1993",55
"1994",47
"1995",61
"1996",50
"1997",40
"1998",41
"1999",37
"2000",64
"2001",39
"2002",42
"2003",44
"2004",45
"2005",51
"2006",45
"2007",38
"2008",44
"2009",44
"2010",47
"2011",43
"2012",53
"2013",37
"2014",46
"2015",44
"2016",37
"2017",35
"2018",40
"2019",41
"2020",36
"2021",44
"2022",37
"2023",50
"2024",36
"2025",62
"2026",48
"2027",39
"2028",47
"2029",55
"2030",39
"2031",41
"2032",32
"2033",48
"2034",42
"2035",42
"2036",50
"2037",44
"2038",37
"2039",47
"2040",39
"2041",41
"2042",36
"2043",34
"2044",50
"2045",43
"2046",41
"2047",36
"2048",38
"2049",39
"2050",38
"2051",34
"2052",37
"2053",37
"2054",49
"2055",52
"2056",42
"2057",38
"2058",36
"2059",37
"2060",39
"2061",36
"2062",52
"2063",51
"2064",36
"2065",42
"2066",40
"2067",43
"2068",39
"2069",37
"2070",35
"2071",39
"2072",52
"2073",41
"2074",69
"2075",45
"2076",47
"2077",42
"2078",44
"2079",49
"2080",48
"2081",37
"2082",40
"2083",35
"2084",37
"2085",42
"2086",56
"2087",40
"2088",49
"2089",45
"2090",38
"2091",43
"2092",40
"2093",43
"2094",37
"2095",48
"2096",40
"2097",34
"2098",37
"2099",37
"2100",37
"2101",38
"2102",42
"2103",61
"2104",63
"2105",36
"2106",44
"2107",36
"2108",40
"2109",35
"2110",37
"2111",37
"2112",41
"2113",43
"2114",39
"2115",35
"2116",43
"2117",41
"2118",37
"2119",52
"2120",38
"2121",40
"2122",44
"2123",57
"2124",50
"2125",34
"2126",37
"2127",33
"2128",49
"2129",36
"2130",43
"2131",44
"2132",42
"2133",43
"2134",36
"2135",38
"2136",45
"2137",42
"2138",41
"2139",35
"2140",42
"2141",46
"2142",48
"2143",37
"2144",54
"2145",55
"2146",43
"2147",35
"2148",52
"2149",46
"2150",40
"2151",37
"2152",46
"2153",42
"2154",46
"2155",34
"2156",38
"2157",41
"2158",43
"2159",34
"2160",34
"2161",39
"2162",41
"2163",34
"2164",55
"2165",44
"2166",50
"2167",34
"2168",39
"2169",34
"2170",39
"2171",41
"2172",48
"2173",41
"2174",41
"2175",54
"2176",44
"2177",48
"2178",47
"2179",37
"2180",37
"2181",43
"2182",40
"2183",46
"2184",54
"2185",40
"2186",37
"2187",36
"2188",49
"2189",34
"2190",38
"2191",47
"2192",37
"2193",39
"2194",37
"2195",45
"2196",35
"2197",65
"2198",49
"2199",45
"2200",52
"2201",38
"2202",35
"2203",39
"2204",52
"2205",37
"2206",34
"2207",35
"2208",33
"2209",41
"2210",48
"2211",37
"2212",35
"2213",46
"2214",38
"2215",35
"2216",44
"2217",34
"2218",34
"2219",47
"2220",40
"2221",39
"2222",36
"2223",40
"2224",44
"2225",45
"2226",38
"2227",34
"2228",53
"2229",45
"2230",38
"2231",49
"2232",44
"2233",35
"2234",42
"2235",44
"2236",37
"2237",37
"2238",35
"2239",58
"2240",34
"2241",46
"2242",42
"2243",38
"2244",37
"2245",44
"2246",40
"2247",44
"2248",54
"2249",48
"2250",40
"2251",52
"2252",42
"2253",47
"2254",43
"2255",37
"2256",38
"2257",47
"2258",34
"2259",35
"2260",41
"2261",37
"2262",42
"2263",39
"2264",44
"2265",55
"2266",37
"2267",38
"2268",36
"2269",45
"2270",36
"2271",64
"2272",39
"2273",33
"2274",34
"2275",48
"2276",38
"2277",48
"2278",34
"2279",37
"2280",48
"2281",42
"2282",49
"2283",44
"2284",35
"2285",35
"2286",36
"2287",46
"2288",45
"2289",55
"2290",66
"2291",34
"2292",38
"2293",41
"2294",38
"2295",37
"2296",42
"2297",43
"2298",40
"2299",34
"2300",35
"2301",38
"2302",36
"2303",36
"2304",39
"2305",34
"2306",65
"2307",34
"2308",45
"2309",36
"2310",37
"2311",42
"2312",35
"2313",38
"2314",38
"2315",38
"2316",36
"2317",35
"2318",40
"2319",34
"2320",45
"2321",51
"2322",35
"2323",34
"2324",36
"2325",34
"2326",36
"2327",37
"2328",42
"2329",46
"2330",39
"2331",44
"2332",50
"2333",47
"2334",42
"2335",58
"2336",34
"2337",39
"2338",34
"2339",45
"2340",38
"2341",36
"2342",35
"2343",34
"2344",48
"2345",35
"2346",36
"2347",49
"2348",37
"2349",35
"2350",43
"2351",35
"2352",36
"2353",36
"2354",35
"2355",36
"2356",34
"2357",33
"2358",46
"2359",46
"2360",41
"2361",35
"2362",42
"2363",37
"2364",37
"2365",38
"2366",34
"2367",36
"2368",57
"2369",46
"2370",34
"2371",48
"2372",35
"2373",47
"2374",45
"2375",41
"2376",39
"2377",44
"2378",34
"2379",36
"2380",44
"2381",48
"2382",66
"2383",37
"2384",56
"2385",42
"2386",45
"2387",45
"2388",35
"2389",53
"2390",33
"2391",41
"2392",35
"2393",50
"2394",36
"2395",36
"2396",41
"2397",43
"2398",36
"2399",44
"2400",38
"2401",42
"2402",48
"2403",34
"2404",33
"2405",45
"2406",37
"2407",44
"2408",48
"2409",48
"2410",49
"2411",34
"2412",41
"2413",43
"2414",46
"2415",45
"2416",35
"2417",41
"2418",38
"2419",37
"2420",42
"2421",45
"2422",36
"2423",50
"2424",42
"2425",38
"2426",43
"2427",43
"2428",38
"2429",38
"2430",49
"2431",50
"2432",50
"2433",46
"2434",42
"2435",41
"2436",34
"2437",36
"2438",50
"2439",34
"2440",38
"2441",44
"2442",44
"2443",36
"2444",40
"2445",54
"2446",50
"2447",46
"2448",42
"2449",44
"2450",37
"2451",43
"2452",44
"2453",47
"2454",44
"2455",51
"2456",36
"2457",45
"2458",37
"2459",47
"2460",35
"2461",35
"2462",39
"2463",39
"2464",49
"2465",53
"2466",48
"2467",34
"2468",54
"2469",36
"2470",42
"2471",50
"2472",35
"2473",40
"2474",40
"2475",36
"2476",39
"2477",35
"2478",35
"2479",44
"2480",37
"2481",42
"2482",33
"2483",58
"2484",40
"2485",52
"2486",38
"2487",42
"2488",35
"2489",39
"2490",38
"2491",36
"2492",37
"2493",45
"2494",38
"2495",50
"2496",37
"2497",34
"2498",46
